description,company_name,job_title,location,time_posted,applicants,type_info,company_info,skills
"About the job
About Afiniti

At Afiniti, we are a leading provider of artificial intelligence technology that elevates the customer experience by making moments of human connection more valuable. Our mission is rooted in a simple yet powerful idea: understanding patterns of human behavior enables us to predict how people will interact and create meaningful connections.

Using our patented AI technology, we revolutionize the contact center industry by pairing customers with the most compatible contact center agents. By doing so, we enhance the entire customer journey, resulting in exceptional experiences and improved outcomes for all parties involved.

Our transformative technology has generated billions of dollars in incremental value for our esteemed clients, which include Fortune 500 companies across diverse industries such as financial services, telecommunications, travel, and hospitality. We take pride in our global reach and impact, with our solutions being leveraged by organizations around the world.

To learn more about Afiniti and the groundbreaking work we do, visit www.afiniti.com.

About The Role

The Software Engineer will be responsible for developing a scalable microservices architecture for enabling the processing and efficient serving of machine learning models. The Software Engineer will also be responsible for building and maintaining systems for building, monitoring and deploying machine learning models.

Key Responsibilities

Build end-to-end microservices architecture for running AI models following industry best practices and architectural principles, utilising languages such as Golang or C++.
Develop and maintain automated pipelines for training, testing, deploying, and monitoring AI models in production environments, utilising tools and platforms such as PyTorch, Kubeflow, Argo Workflows, and Apache Airflow.
Collaborate with cross-functional teams to optimize the performance and scalability of AI models, with a focus on leveraging hardware acceleration (e.g., GPUs, TPUs) and distributed computing resources (e.g., Apache Spark).
Work closely with data scientists, software engineers, and DevOps specialists to address technical challenges and drive continuous improvement in AI solution development processes, fostering a culture of collaboration and knowledge sharing.
Document design decisions, implementation details, and best practices, and effectively communicate with team members to ensure a shared understanding of project requirements and objectives, utilizing collaboration tools such as Jira, Confluence, GitHub, BitBucket.
Pursue continuous learning and professional development opportunities to expand expertise in AI technologies, software engineering practices, and related domains, including participation in conferences, workshops, and online courses.

Minimum Qualifications

Bachelor’s or Master’s degree in Computer Science or Software Engineering with a focus on artificial intelligence, machine learning, or software engineering.
Candidate should have minimum 3 years of experience and should have strong proficiency in both back-end development, with expertise in languages such as Golang or C++, and experience building scalable, distributed systems.
Excellent analytical and problem-solving skills, with a track record of tackling complex technical challenges and delivering innovative solutions in a collaborative team environment.

Preferred Qualifications

Familiarity with cloud platforms (e.g., AWS, Azure, GCP), containerisation technologies (e.g., Docker, Kubernetes), and CI/CD pipelines for automating software delivery processes.
Good understanding of machine learning and deep learning concepts, algorithms, and frameworks (e.g., TensorFlow, PyTorch), with hands-on experience in developing and deploying AI models, particularly in natural language processing (NLP).
Understanding of data processing pipelines, data management, and data engineering principles, including experience working with large-scale datasets and distributed computing frameworks (e.g., Spark).
Strong interpersonal and communication skills, with the ability to effectively collaborate with diverse teams, convey technical concepts to non-technical stakeholders, and contribute to a positive team culture.

Location/Hybrid work statement

Based on the role and function at Afiniti, you may have the opportunity to work hybrid!",Afiniti,Lead AI / ML / NLP / Data Engineers,"Karachi Division, Sindh, Pakistan ", Reposted 4 days ago , 40 applicants,On-site Full-time Mid-Senior level,On-site Full-time Mid-Senior level,"Back-End Web Development, C++, Communication, and Problem SolvingAnalytical Skills, Bitbucket, Distributed Systems, Go (Programming Language), Interpersonal Communication, and Knowledge Sharing"
"About the job
Our esteemed US-based client is on the lookout for a dedicated Data Scientist.

Expect to engage in in-depth peer code reviews and provide thoughtful feedback aimed at continuous improvement. In this role, you'll also be part of a dynamic team, working alongside researchers and partners to ensure that the projects are aligned with the goal of generating widespread benefits through innovation.

Job Responsibilities:

Write Python code to address hard problems and look at public data for insights.
Speak plainly with researchers to support company aims.
Detail your code's logic plainly in Jupyter notebooks.
Analyze big data sets to answer vital company questions using data from different sources.

Skills Required:

Have a bachelor's or master's in Engineering/Computer Science or similar experience.
2+ years in a data science role.
2+ years analyzing data and eager to make a mark in the tech industry.
Experience with Python for at least 2 years.
In-depth experience in data science and analysis.
Good command over both written and verbal English communication

Nice to have skills:

If you know SQL, that's a bonus.
Must be a great communicator to work with the research team.
Sharp business and data analysis skills to get the right results from data and explain them.
Excellent at figuring things out and thinking through data.

Why You'll Like Working With Us:

Collaborate with elite minds in research and development hailing from across the globe
Embrace the flexibility of a remote work lifestyle, allowing you to bring forth your best work in your own workspace
Earn a good salary in US dollars that meets worldwide standards
Immerse yourself in innovative projects that consistently offer a blend of excitement and intellectual growth, positioning you at the forefront of technological evolution

Apply now and help change the future of technology. Take tests and MCQs today and you could be the one to get this exciting job. This is your chance to play a big part in helping everyone have a better experience with technology.",Turing,Remote Python Data Scientist,Pakistan , Reposted 1 week ago , 33 applicants,Remote Full-time Entry level,Remote Full-time Entry level,"Computer Science, Data Analytics, Data Science, English, and Python (Programming Language)Data Analysis, Jupyter, Laptops, Natural Language Processing (NLP), and Predictive Analytics"
"About the job
A distinguished US-based client seeks a dedicated Data Scientist to join their dynamic team.

As a Data Scientist within the team, your daily tasks will include performing rigorous peer code reviews and delivering insightful feedback for continuous improvement. Additionally, you will collaborate closely with researchers and stakeholders to ensure alignment with project needs.

Job Responsibilities:

Develop Python code to analyze public datasets and extract meaningful insights.
Collaborate closely with researchers to ensure project alignment with company objectives.
Utilize Jupyter notebooks for efficient coding and documentation.
Leverage data from public sources like Kaggle to address business queries and enhance decision-making processes.

Job Requirements:

Bachelor’s or Master’s degree in Engineering, Computer Science, or a related discipline.
At least 2 years of experience as a data scientist.
Proven track record of 2 years in data analysis.
Professional proficiency in Python demonstrated over 2 years.
Solid grasp of data science and analysis concepts.
Fluent communication skills in both spoken and written English.

Nice to have:

Proficiency in SQL is beneficial.
Strong problem-solving and analytical skills.

Job Benefits:

Collaborate with top experts from around the globe and become part of a network matching your goals
Work remotely from anywhere. No more traditional job constraints
Competitive global standard salary in USD
Contribute to projects pushing the boundaries of technology, keeping you ahead in your field.

Come aboard and boost your career now. Complete the tests and multiple-choice questions today to enhance your odds of landing one of our exciting positions. Seize this opportunity to play a crucial role in our mission and revolutionize the technology landscape for all.",Turing,Remote Data Scientist - Python,Pakistan , Reposted 1 week ago , 86 applicants,Remote Full-time Entry level,Remote Full-time Entry level,
"About the job
Job Brief:

Join our team as a Marketing Analyst and unleash your creativity! We're seeking a dynamic professional to drive innovative marketing strategies, elevate brand presence, and engage ouraudience in exciting ways. If you're passionate about making an impact in a collaborativeenvironment, apply now!

VentureDive Overview

Founded in 2012 by veteran technology entrepreneurs from MIT and Stanford, VentureDive is the fastest growing technology company in the region that develops and invests in products and solutions that simplify and improve lives of people world-wide. We aspire to create a technology organization and an entrepreneurial ecosystem in the region that are recognized as second to none in the world.

Responsibilities:

Assist in managing and creating content for our various social media platforms, including but not limited to Facebook, Instagram, and YouTube
Monitor social media trends, track engagement metrics, and provide insights to enhanceour online presence
Collaborate with the marketing team to brainstorm, develop, and execute creativemarketing campaigns and strategies
Participate in brainstorming sessions to generate innovative ideas for new marketinginitiatives
Research industry trends, competitors, and target audience preferences to informmarketing strategies
Assist in the creation of visually appealing graphics and multimedia content for socialmedia posts

Qualifications:

Has a degree in Marketing, Communications, Business, or related field
Strong understanding of various social media platforms and their best practices
Creative mindset with the ability to generate unique and engaging marketing ideas
Excellent written and verbal communication skills
Detail-oriented, organized, and able to manage multiple tasks effectively
Positive attitude, willingness to learn, and a proactive approach to tasks

What We Look For Beyond Required Skills

In order to thrive at VentureDive, you

…are intellectually smart and curious

…have the passion for and take pride in your work

…deeply believe in VentureDive’s mission, vision, and values

…have a no-frills attitude

…are a collaborative team player

…are ethical and honest

Are you ready to put your ideas into products and solutions that will be used by millions?

You will find VentureDive to be a quick pace, high standards, fun and a rewarding place to work at. Not only will your work reach millions of users world-wide, you will also be rewarded with competitive salaries and benefits. If you think you have what it takes to be a VenDian, come join us ... we're having a ball!

Powered by JazzHR

SZ9Ks02rUv",VentureDive,Marketing Analyst,"Lahore, Punjab, Pakistan ", 4 months ago , Over 100 applicants,On-site Full-time Mid-Senior level,On-site Full-time Mid-Senior level,"CommunicationAnalytical Skills, Campaigns, Communication Training, Data Analysis, Market Research, Oral Communication, Social Media, Social Media Marketing, and Teamwork"
"About the job
A top US client is looking to hire Data Scientists.

As a Data Scientist on our team, your daily responsibilities will involve conducting thorough peer code reviews and offering insightful feedback for improvement. Additionally, you'll collaborate closely with researchers and other stakeholders to align with project requirements.

Job Responsibilities:

Create Python codes and analyze public datasets for insights.
Work closely with researchers to stay aligned with company targets.
Use Jupyter notebooks for coding processes
Work with data to answer work-related queries using public sources like Kaggle or alternatives.

Job Requirements:

Bachelor’s or Master’s degree in Engineering, Computer Science, or similar
Data scientist with a track record of at least 2 years.
2 years dedicated to data analysis.
Proven proficiency in Python through 2 years of professional practice.
Strong understanding of data science and analysis principles.
Fluent in spoken and written English.

Nice to have:

Proficiency in SQL is advantageous.
Possessing strong problem-solving and analytical abilities.

Job Benefits:

Collaborate with top experts worldwide and join a network aligned with your goals
Enjoy remote work flexibility without traditional job constraints
Competitive global standard salary in USD
Contribute to projects pushing the boundaries of technology, keeping you ahead in your field.

Elevate your career prospects by joining us today. Finish the tests and MCQs to improve your chances of landing one of our exciting positions. Seize this opportunity to play a pivotal role in our mission and revolutionize the technology landscape for all.",Turing,Remote Data Scientist,Pakistan , Reposted 1 week ago , 37 applicants,Remote Full-time Entry level,Remote Full-time Entry level,Data ScienceData Analysis
"About the job
Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Totogi. Have you got what it takes?

Totogi is on the lookout for tech trailblazers ready to dive headfirst into the next wave of software development with AI as their co-pilot. Think less routine, more innovation. Here, AI isn't just another tool—it's your sidekick, elevating your coding skills to superhero status. Imagine conjuring code like magic, predicting and squashing bugs before they even emerge, and delivering groundbreaking solutions that leave customers in awe.

This role is all about pushing the boundaries of what's possible in software development. You'll be instrumental in crafting AI tools that clarify complex concepts, employing the latest in technology to upgrade your coding skills to superhero-level. Your objective is to elevate our enterprise software solutions, ensuring they lead the market in innovation, user satisfaction, and overall experience.

Totogi values driven, curious, and innovative individuals ready to explore new horizons. We're charting a course towards a new way of working, with AI as our guide. Are you up for the challenge?

What You Will Be Doing

Create and integrate backend AI agents using frameworks like Python LangChain to process natural language inputs and interact with APIs
Develop AI-powered frontend interfaces for user interactions, such as chatbots or browser extensions
Design and implement AI-driven features for automating tasks, such as custom report generation

What You Won’t Be Doing

Routine maintenance and debugging of legacy systems
Manual testing and quality assurance
Infrastructure management, such as server setup and network configuration

AI Software Engineer Key Responsibilities

Drive the integration of AI into our development process, setting new standards in innovation, efficiency, and customer satisfaction for Totogi's product suite.

Basic Requirements

Familiarity with different LLM architectures and the ability to select the most appropriate model for specific tasks
The ability to integrate LLMs into DevOps pipelines 
Experience using LLMs for tasks like code generation, code completion, and automated code review
The ability to integrate vector databases with LLMs for tasks like question answering or information retrieval

About Totogi

Totogi is focused on building telco software for the public cloud and is completely redefining how carriers engage with their subscribers to drive customer love! We are a product-driven telco software company made up of some of the best minds from the telecoms industry and the brightest engineering talent across the globe. Change the game with us.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:

You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.

Important! If you do not receive an email from us:

First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.

Crossover Job Code: LJ-5260-PK-Punjab-AISoftwareEngi.002",Crossover ,"AI Software Engineer, Totogi (Remote) - $60,000/year USD","Lahore, Punjab, Pakistan ", Reposted 55 minutes ago , 39 applicants,$30/hr Remote Full-time Associate,$30/hr Remote Full-time Associate,"Artificial Intelligence (AI), Computer Science, and Data ScienceCode Review, Debugging, Manual Testing, Natural Language Processing (NLP), Quality Assurance, Question Answering, and Routine Maintenance"
"About the job
TCP is committed to cultivating a diverse and inclusive team. However, we are not able to sponsor visas for this role. 

About TCP (TimeClock Plus)

For more than 30 years, TCP has helped organizations engage their people by providing flexible, mobile timekeeping and workforce management solutions. Trusted by tens of thousands of customers and millions of users, TCP delivers best-in-class technology and personalized support to organizations of all sizes in the public and private sector to meet their complex timekeeping, employee scheduling, leave management and other workforce needs. Growth is happening and our vision for a successful future is clear - We'd love for you to join us on this journey! For more information on TCP, visit www.tcpsoftware.com or follow us on LinkedIn or Facebook. 

As a QA Automation Engineer, you Will

Develop test strategy, plans and test cases
Participate in meetings regarding software requirements
Review requirements, specifications and technical design documents to provide timely and meaningful feedback
Estimate, prioritize, plan and coordinate testing activities
Build test automation frameworks
Design, write, and execute automated tests
Maximize test coverage for the most critical features of the system
Perform manual testing for TIMECO and Humanity products
Identify, record, document thoroughly and track bugs
Communicate and share information about issues and problems
Create reports of test progress and results
Participate in the setup of continuous integration

You are a strong fit for this role if you have:

2-4 years of QA automation or relevant experience
Strong ability to communicate clearly and concisely
Strong ability to prioritize workload
Remain professional under severe pressure
High level of customer empathy
Strong email etiquette and grammar
The ability to display our core values when working with customers and peers
The ability to display adaptability and flexibility in work products
Strong interpersonal and relationship skills
Sound decision making and judgment
Accountable and results focused
Supportive in people development
Organizational savvy 

Benefits

Competitive salary
PTO and Sick leaves
In-Patient Health insurance
Provident fund and EOBI
The work/life set up you need to be successful.
A creative, collaborative, supportive environment that gives you the autonomy to explore new ideas, grow your skill set and create outstanding results 
The chance to make a genuine impact on the company’s growth 
Plenty of challenging work and the opportunity to stretch yourself 
The opportunity to work with amazing talent in a fast-growing company that really values their team 

TCP is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. ",TCP Software,QA Automation Engineer,"Lahore, Punjab, Pakistan ", Reposted 1 week ago , Over 100 applicants,On-site Full-time Mid-Senior level,On-site Full-time Mid-Senior level,"CommunicationDesign Documents, Manual Testing, QA Automation, Quality Assurance, Software Requirements, Technical Design, Test Automation, Test Cases, and Workload Prioritization"
"About the job
Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Totogi. Have you got what it takes?

In the telecommunications industry, operational inefficiency and customer dissatisfaction are persistent issues, exacerbated by the complexity and volume of tasks that must be managed manually. Studies show that companies spend up to 30% of their operational budgets on manual task management, often resulting in service downtime and frustrated customers.

Totogi is revolutionizing this landscape by leveraging cutting-edge, AI-driven systems to automate these tasks, significantly enhancing operational efficiency and customer satisfaction. By integrating advanced AI technology with deep technical expertise, we are not just solving problems reactively but proactively reshaping the entire support process. This approach is exciting because it sets a new standard in customer service efficiency and technical integration, making us a leader in the industry.

This role is designed for those who thrive in high-tech, innovative environments. It is not a traditional engineering or support role; instead, it combines hands-on technical work with advanced AI tools to proactively optimize and automate complex support tasks. If you excel at scripting, system configuration, and deep technical troubleshooting, and are excited by the prospect of continuously improving processes through technology, this job is for you.

In this role, you will be a crucial part of our dynamic team, implementing and managing AI-driven systems to enhance operational efficiency and customer satisfaction. You will configure and maintain network functions to ensure seamless service delivery, analyze data to derive actionable insights, and manage incidents to ensure timely resolution. Your work will directly contribute to our strategic decisions and elevate our customer support to new heights. If you are ready to empower your career with advanced AI technology and make a significant impact, we encourage you to apply and join our forward-thinking team.

What You Will Be Doing

AI System Building: Designing and implementing AI-driven systems and monitoring tools to enhance operational efficiency.
Service Configuration and Maintenance: Using AI tools to configure AAA, PCRF, SMSC, and MMSC network functions, ensuring seamless service delivery and customer satisfaction.

What You Won’t Be Doing

Answering the same questions over and over again
Providing trivial or basic troubleshooting
Writing knowledge base articles

Technical Support Engineer Key Responsibilities

Enhance operational efficiency and customer satisfaction by optimizing and automating tasks using AI-driven systems and advanced technical skills

Basic Requirements

Experience working with the following Telco network functions: AAA/PCRF/SMSC/MMSC
Solid understanding of Radius, Diameter, SS7, and IMAP protocols
Proficiency in Linux and Kubernetes
Professional experience using generative AI tools (e.g. ChatGPT, Gemini, Claude) to boost productivity

About Totogi

Totogi is focused on building telco software for the public cloud and is completely redefining how carriers engage with their subscribers to drive customer love! We are a product-driven telco software company made up of some of the best minds from the telecoms industry and the brightest engineering talent across the globe. Change the game with us.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:

You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.

Important! If you do not receive an email from us:

First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.

Crossover Job Code: LJ-5281-PK-NWFPPesh-TechnicalSuppo.001",Crossover ,"Technical Support Engineer, Totogi (Remote) - $60,000/year USD","Peshawar, Khyber Pakhtunkhwa, Pakistan ", Reposted 1 hour ago , 47 applicants,$30/hr Remote Full-time Associate,$30/hr Remote Full-time Associate,
"About the job
A leading US client is seeking Data Scientists.

As a Data Scientist on our team, your daily tasks will involve conducting thorough peer code reviews and offering insightful feedback for improvement. Additionally, you'll collaborate closely with researchers and other stakeholders to align with project requirements.

Job Responsibilities:

Develop Python codes and work on public datasets for extracting information.
Communicate with researchers to stay aware of organizational goals.
Develop code using Jupyter notebooks
Work with available data to address key queries using public sources like Kaggle or others.

Job Requirements

Bachelor’s or Master’s degree in Engineering, Computer Science, or similar
Minimum 2 years spent in the role of a data scientist.
2 years specializing in data analysis.
Demonstrated proficiency in Python over 2 years of professional work.
Robust grasp of data science and analysis fundamentals.
Fluent in both spoken and written English.

Nice to have:

Familiarity with SQL is preferable
Excellence in problem-solving and analysis is required.

Job Benefits:

Collaborate with top experts worldwide and join a network aligned with your goals
Enjoy remote work flexibility without traditional job constraints
Competitive global standard salary in USD
Contribute to projects pushing the boundaries of technology, keeping you ahead in your field.

Advance your career journey by joining us now. Complete the assessments and MCQs today to enhance your chances of securing one of our stimulating positions. Seize this opportunity to make a significant impact on our mission and reshape the technology landscape for everyone.",Turing,Remote Python Data Science Analyst,Pakistan , Reposted 1 week ago , 69 applicants,Remote Full-time Entry level,Remote Full-time Entry level,
"About the job
The Division 

Constellation1 is a leading provider of truly integrated technology, media and data solutions to real estate franchisors, brokerages, agents and MLS organizations and associations. We're clear about what we want to do: Innovate in real estate. Not in pursuit of some larger business strategy, but in pursuit of making this industry our industry better. We don't just sell technology. We work closely with clients and partners to identify problems, develop solutions, and uncover opportunities.

The Position

The division is looking to hire two Intern/Fresh Grads to be a member of its QA team. The selected interns would progress from training to apprenticeship, to potentially a full-time permanent employment role in the  Contour Software Lahore office, working as part of the resource-center team, as an extension of the onshore R&D team.

Required Skills & Experience

 University degree in Computer Science, Information Technology, and/or related discipline. 
 Strong verbal and written communication skills in English. 
 New/Recent/Soon to Graduate Computer Science & Software Engineering graduates are encouraged to apply. 
 Familiar with the software development lifecycle and software quality assurance & testing concepts. 
 Have good programming/scripting knowledge and skills. Object-Oriented Programming is preferred. 
 Knowledge and exposure to writing and executing SQL queries. 
 Knowledge of automation testing tools is a plus. 
 Knowledge of different application types/architecture. 
 Ability to evaluate a system, understand complexities, and identify weaknesses/bottlenecks. 
 Must have good analytical and problem-solving skills. 
 4 hour overlap with PST business hours. 

Nice To Have

 Experience with SQL. 
 Experience with Postman or other API testing tools. 
 Experience with Jira issue tracking. 

Key Competencies

 Attention to detail 
 Data collection, management, and analysis 
 Problem analysis and problem-solving 
 Planning and organizing 
 Judgment 
 Decision-making 
 Teamwork 
 Ability to think and work independently 
 Energetic and a ""can-do attitude 

Exciting Benefits We Offer

 Market-leading Salary 
 Medical Coverage Self & Dependents 
 Parents Medical Coverage 
 Provident Fund 
 Employee Performance-based bonuses 
 Home Internet Subsidy 
 Conveyance Allowance 
 Profit Sharing Plan [Tenured Employees Only] 
 Life Benefit 
 Child Care Facility 
 Company Provided Lunch/Dinner 
 Professional Development Budget 
 Recreational area for in-house games 
 Sporadic On-shore training opportunities 
 Friendly work environment 
 Leave Encashment

Desired Skills and Experience
SQA, TESTING, JIRA, API, MANUAL TESTING",Contour Software,SQA Trainee,"Lahore, Punjab, Pakistan ", 1 month ago , 0 applicants,On-site Full-time Entry level,On-site Full-time Entry level,"Computer Science and Problem SolvingAPI Testing, Jira, Postman API, Problem Analysis, Quality Assurance, Software Quality, Software Quality Assurance, and Testing Tools"
"About the job
Alpha Global Team is looking for experienced Ecommerce Data Feed Manager, who can handle our B2B Ecommerce websites databases and large product catalogues. The candidate must be self-starter and multi tasker.
Job Description:
Manage complete database of Products catalogue
Handle big complex catalogues of the products
Must be expert in handling large data bases
Guru in Microsoft excel to handle complex formulas
Lead the pricing strategy of b2b ecommerce stores
Work closely with suppliers and distributors to get their products data feeds/Catalogue 
Knowledge of FTP servers connectivity and download files.
Maintain store and department-level database
You will be the Subject Matter Expert on eCommerce in both B2C and B2B markets
Strong business and analytical acumen
Proven track record in leading B2B data feeds supplier
Handle Import and export functions of Ecommerce Stores

Things to consider:
3 Years proven experience in handling large databases/Large product Catalogues/Data Feeds
Must be punctual and dependable
Long term commitment required
Proven experience in Big commerce, Shopify, Magento store Catalogue management

Competitive Salary with benefits.
Office-based Job, second shift. Saturday and Sundays are off.
Office Location: Al Hafeez Executive , Firdous Market, Gulberg.
Job Type: Full-time",Alpha Global Team,Ecommerce Data Catalog Manager,"Lahore, Punjab, Pakistan ", 1 week ago , Over 100 applicants,On-site Full-time,On-site Full-time,"CommunicationAnalytical Skills, Catalog Management, Content Management, Marketing, Negotiation, Sales, Team Leadership, Team Management, and Training"
"About the job
A distinguished US enterprise client requires the expertise of a Data Scientist.

Your primary responsibility will be to carry out comprehensive code reviews and supply meaningful feedback. You will be integral to a concerted effort with research personnel and other key players, ensuring that the trailblazing projects are not only secure but also poised to change the lives of many.

Core Tasks:

Develop Python code to take on tough challenges and mine public data for insights.
Be clear and straightforward when talking with research teams about achieving goals.
Make sure your code's purpose is easy to understand in Jupyter notebooks.
Harness your data analysis chops to solve critical work-related problems using datasets from varied sources.

Required Credentials:

You should have a degree in Engineering or Computer Science or similar expertise.
Looking for someone with 2+ years in the data science field.
Someone with a solid 2 years of getting into the nitty-gritty of data.
Python experience is key – looking for 2+ years.
A strong foundation in the practice of data science and number-crunching.
You'll need to be fluent in English, for both speaking and written interactions.

Optional Skills:

If you've worked with SQL, that's a perk.
Your communication game needs to be strong, helping you work alongside researchers.
The ability to problem-solve and analyze is critical.

Perks And Benefits

Engage in partnerships with eminent experts from across the world, creating a community that matches the scale of your professional aspirations
Experience employment that transcends traditional roles; this is an ideal scenario for those who yearn to work in a remote environment
Receive an attractive compensation package in USD that aligns with international benchmarks
Contribute to avant-garde initiatives that challenge the limits of technology, continually propelling you to the forefront of cutting-edge advancements in your field

Join the team and change how to interact with tech. Grow your career by nailing the tests and MCQs quickly to improve your chances at getting one of these innovative jobs. This is your shot to be a foundational piece of the organization's mission and transform the tech experience for everyone.",Turing,Remote Python Data Scientist,Pakistan , Reposted 1 week ago , 34 applicants,Remote Full-time Entry level,Remote Full-time Entry level,"Computer Science, Data Analytics, Data Science, English, and Python (Programming Language)Data Analysis, Datasets, Jupyter, Laptops, and Predictive Analytics"
"About the job
Xgrid is a cloud services tech firm specializing in providing expert consultancy and professional services in building secure, complex, large-scale, production-grade distributed systems in cloud environments (AWS | Google Cloud Platform | Azure). The architects of the Xgrid cloud business group have 20+ years of combined experience building production-grade hyperscale systems for top Silicon Valley tech companies including Amazon, Salesforce, VMware, Cisco, and multiple top startups with successful exits.

Our mission is to help small and big businesses grow their business by equipping them with state-of-the-art tools and technologies. This not only helps their business but also modernizes and builds a robust and cutting-edge cloud tech stack satisfying all the requirements for their use cases.

We are looking for passionate Power BI/Tableau Developers who have experience in developing, maintaining, and optimizing BI solutions in cloud environments (AWS | GCP | Azure). Our cloud business group works with top-tier Silicon Valley and European customers and helps them build production-grade systems using cutting-edge cloud software technology.

At Xgrid, you will enjoy being part of an extremely talented, motivated team interacting with both business and development counterparts to capture key requirements and translate them to products and services designed for our customers. The ideal Xgrid Power BI/Tableau Developer will have experience developing and delivering complex enterprise-grade mission-critical BI solutions for our cloud customers.

If you are passionate about working with the world’s top tech Silicon Valley companies and highly experienced software engineers and are excited about solving interesting and complex problems and challenges in a fast-paced environment, where you get to not only grow yourself but also help build a team and culture, Xgrid has a place for you, and we would love to have you onboard!

What You Will Do

Develop, design, and maintain advanced BI solutions using Power BI, Tableau, and other BI tools.
Create and manage interactive and visually compelling dashboards and reports that provide actionable insights.
Implement data models, data connections, and queries for optimal performance and efficiency.
Analyze complex data sets from various sources to identify trends, patterns, and insights.
Collaborate with stakeholders to understand their requirements and translate them into technical specifications.
Perform data validation and ensure the accuracy and integrity of the data presented in reports and dashboards.
Monitor and maintain existing BI solutions to ensure high availability and performance.
Troubleshoot and resolve issues related to data, performance, and functionality.
Continuously improve BI solutions by incorporating user feedback and staying updated with the latest BI trends and technologies.
Work closely with business users, data analysts, and IT teams to gather requirements and ensure alignment with business objectives.
Provide training and support to end-users to maximize the value of BI solutions.
Present findings and insights to stakeholders in a clear and concise manner.


Required Skills

Minimum of 2 years of experience developing BI solutions using Power BI, Tableau, or similar BI tools.
Strong understanding of data modeling, ETL processes, and SQL.
Knowledge of database management systems (e.g., SQL Server, MySQL) and data warehousing concepts.
Familiarity with data governance, data quality, and data lineage.
Basic knowledge of operating systems and cloud platforms.
Strong skills in information gathering and requirement documentation.
Excellent written and verbal communication skills.
Excellent analytical and problem-solving skills.
Quick learner and ability to adapt to customer-driven fast-paced development environments.
Team player with outstanding collaboration and teamwork attitude.


Preferred Skills

Hands-on experience with building data processing systems and data pipelines.
Understanding of SQL (Postgres, MySQL, RDS, etc.) and NoSQL (Mongo, Elasticsearch, Cassandra, DynamoDB, etc.) technologies.
Experience with scripting languages (e.g., Python, R) for data analysis and automation is a plus.
Beginner to intermediate level experience with public cloud data services (AWS | GCP | Azure).",Xgrid.co,BI Developer (Power BI/Tableau),"Islamabad, Islāmābād, Pakistan ", 1 month ago , 0 applicants,Remote Full-time Entry level,Remote Full-time Entry level,
